Country/Region,Lat,Long,Count of Confirmed Cases,Overall Death Count,Overall Recovered Cases
Liechtenstein,47.14,9.55,68,0,0
Lithuania,55.1694,23.8813,581,8,7
Luxembourg,49.8153,6.1296,2319,29,80
Madagascar,-18.7669,46.8691,57,0,0
Malaysia,2.5,112.5,2908,45,645
Maldives,3.2028,73.2207,19,0,13
Malta,35.9375,14.3754,188,0,2
Mauritania,21.0079,10.9408,6,1,2
Mauritius,-20.2,57.5,161,6,0
Mexico,23.6345,-102.5528,1215,29,35
Moldova,47.4116,28.3699,423,5,23
Monaco,43.7333,7.4167,55,1,2
Mongolia,46.8625,103.8467,14,0,2
Montenegro,42.5,19.3,123,2,0
Morocco,31.7917,-7.0926,654,39,29
Namibia,-22.9576,18.4904,14,0,2
Nepal,28.1667,84.25,5,0,1
Netherlands,12.5186,-70.0358,55,1175,260
Netherlands,12.1696,-68.99,11,1175,260
Netherlands,18.0425,-63.0548,16,1175,260
Netherlands,52.1326,5.2913,13614,1175,260
New Zealand,-40.9006,174.886,708,1,83
Nicaragua,12.8654,-85.2072,5,1,0
Niger,17.6078,8.0817,74,5,0
Nigeria,9.082,8.6753,174,2,9
North Macedonia,41.6086,21.7453,354,11,17
Norway,60.472,8.4689,4863,44,13
Oman,21,57,210,1,34
Pakistan,30.3753,69.3451,2118,27,94
Panama,8.538,-80.7821,1181,30,9
Papua New Guinea,-6.315,143.9555,1,0,0
Paraguay,-23.4425,-58.4438,69,3,1
Peru,-9.19,-75.0152,1323,38,394
Philippines,13,122,2311,96,50
Poland,51.9194,19.1451,2554,43,47
Portugal,39.3999,-8.2245,8251,187,43
Qatar,25.3548,51.1839,835,2,71
Romania,45.9432,24.9668,2460,92,252
Russia,60,90,2777,24,190
Rwanda,-1.9403,29.8739,82,0,0
Saint Lucia,13.9094,-60.9789,13,0,1
Saint Vincent and the Grenadines,12.9843,-61.2872,1,0,1
San Marino,43.9424,12.4578,236,26,13
Saudi Arabia,24,45,1720,16,264
Senegal,14.4974,-14.4524,190,1,45
Serbia,44.0165,21.0059,1060,28,0
Seychelles,-4.6796,55.492,10,0,0
Singapore,1.2833,103.8333,1000,3,245
Slovakia,48.669,19.699,400,1,3
Slovenia,46.1512,14.9955,841,15,10
Somalia,5.1521,46.1996,5,0,1
South Africa,-30.5595,22.9375,1380,5,50
Spain,40,-4,104118,9387,22647
Sri Lanka,7,81,146,3,21
Sudan,12.8628,30.2176,7,2,2
Suriname,3.9193,-56.0278,10,0,0
Sweden,63,16,4947,239,103
Switzerland,46.8182,8.2275,17768,488,2967
Taiwan*,23.7,121,329,5,39
Tanzania,-6.369,34.8888,20,1,1
Thailand,15,101,1771,12,505
Togo,8.6195,0.8248,36,2,10
Trinidad and Tobago,10.6918,-61.2225,90,5,1
Tunisia,34,9,423,12,5
Turkey,38.9637,35.2433,15679,277,333
Uganda,1,32,44,0,0
Ukraine,48.3794,31.1656,794,20,13
United Arab Emirates,24,54,814,8,61
United Kingdom,32.3078,-64.7505,32,2357,179
United Kingdom,19.3133,-81.2546,22,2357,179
United Kingdom,49.3723,-2.3644,172,2357,179
United Kingdom,36.1408,-5.3536,81,2357,179
United Kingdom,54.2361,-4.5481,68,2357,179
United Kingdom,16.7425,-62.1874,5,2357,179
United Kingdom,55.3781,-3.436,29474,2357,179
Uruguay,-32.5228,-55.7658,338,2,41
US,37.0902,-95.7129,213372,4757,8474
Uzbekistan,41.3775,64.5853,181,2,12
Venezuela,6.4238,-66.5897,143,3,41
Vietnam,16,108,218,0,63
Zambia,-15.4167,28.2833,36,0,0
Zimbabwe,-20,30,8,1,0
Canada,0,0,0,109,1324
Dominica,15.415,-61.371,12,0,0
Grenada,12.1165,-61.679,9,0,0
Mozambique,-18.665695,35.529562,10,0,0
Syria,34.802075,38.996815,10,2,0
Timor-Leste,-8.874217,125.727539,1,0,0
Belize,13.1939,-59.5432,3,0,0
Canada,0,0,0,109,1324
Laos,19.85627,102.495496,10,0,0
Libya,26.3351,17.228331,10,0,0
West Bank and Gaza,31.9522,35.2332,134,1,18
Guinea-Bissau,11.8037,-15.1804,9,0,0
Mali,17.570692,-3.996166,31,3,0
Saint Kitts and Nevis,17.357822,-62.782998,8,0,0
Canada,64.8255,-124.8457,2,109,1324
Canada,64.2823,-135,5,109,1324
Kosovo,42.602636,20.902977,125,1,10
Burma,21.9162,95.956,15,1,0
United Kingdom,18.2206,-63.0686,2,2357,179
United Kingdom,18.4207,-64.64,3,2357,179
United Kingdom,21.694,-71.7979,6,2357,179
MS Zaandam,0,0,9,2,0
Botswana,-22.3285,24.6849,4,1,0
Burundi,-3.3731,29.9189,2,0,0
Sierra Leone,8.460555,-11.779889,2,0,0
